Product Name,Temperature L1,Temperature L2,Size,Ounce,Category,product_name_in_nutrition,aaron_sheet_name
Roasted Oolong Tea,Hot,Hot,Large,22 oz,Tea,Roasted Oolong Extracted Hot Tea,22 oz Roasted Oolong Extracted Hot Tea
Roasted Oolong Tea,Ice,Regular,Small,12 oz,Tea,Roasted Oolong Extracted Iced Tea,16 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,Regular,Regular,16 oz,Tea,Roasted Oolong Extracted Iced Tea,16 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,Regular,Large,22 oz,Tea,Roasted Oolong Extracted Iced Tea,22 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,Less,Small,12 oz,Tea,Roasted Oolong Extracted Iced Tea,16 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,Less,Regular,16 oz,Tea,Roasted Oolong Extracted Iced Tea,16 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,Less,Large,22 oz,Tea,Roasted Oolong Extracted Iced Tea,22 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,No,Small,12 oz,Tea,Roasted Oolong Extracted Iced Tea,16 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,No,Regular,16 oz,Tea,Roasted Oolong Extracted Iced Tea,16 oz Roasted Oolong Extracted Iced Tea
Roasted Oolong Tea,Ice,No,Large,22 oz,Tea,Roasted Oolong Extracted Iced Tea,22 oz Roasted Oolong Extracted Iced Tea
Jasmine Green Lemon Tea,Hot,Hot,Small,12 oz,Tea,unmapped,unmapped
Jasmine Green Lemon Tea,Hot,Hot,Regular,16 oz,Tea,unmapped,unmapped
Jasmine Green Lemon Tea,Hot,Hot,Large,22 oz,Tea,unmapped,unmapped
Jasmine Green Lemon Tea,Ice,Regular,Small,12 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,Regular,Regular,16 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,Regular,Large,22 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,Less,Small,12 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,Less,Regular,16 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,Less,Large,22 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,No,Small,12 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,No,Regular,16 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Jasmine Green Lemon Tea,Ice,No,Large,22 oz,Tea,Jasmine Brewed Lemon Tea,22 oz Jasmine Brewed Lemon Tea
Peach Oolong Lemon Tea,Hot,Hot,Small,12 oz,Tea,unmapped,unmapped
Peach Oolong Lemon Tea,Hot,Hot,Regular,16 oz,Tea,unmapped,unmapped
Peach Oolong Lemon Tea,Hot,Hot,Large,22 oz,Tea,unmapped,unmapped
Peach Oolong Lemon Tea,Ice,Regular,Small,12 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,Regular,Regular,16 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,Regular,Large,22 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,Less,Small,12 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,Less,Regular,16 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,Less,Large,22 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,No,Small,12 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,No,Regular,16 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Peach Oolong Lemon Tea,Ice,No,Large,22 oz,Tea,Peach Brewed Lemon Tea,22 oz Peach Brewed Lemon Tea
Roasted Black Lemon Tea,Hot,Hot,Small,12 oz,Tea,unmapped,unmapped
Roasted Black Lemon Tea,Hot,Hot,Regular,16 oz,Tea,unmapped,unmapped
Roasted Black Lemon Tea,Hot,Hot,Large,22 oz,Tea,unmapped,unmapped
Roasted Black Lemon Tea,Ice,Regular,Small,12 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,Regular,Regular,16 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,Regular,Large,22 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,Less,Small,12 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,Less,Regular,16 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,Less,Large,22 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,No,Small,12 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,No,Regular,16 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Roasted Black Lemon Tea,Ice,No,Large,22 oz,Tea,Roasted Black Extracted Lemon Tea,22 oz Roasted Black Extracted Lemon Tea
Caramel Tea Frappe,Hot,Hot,Small,12 oz,Tea,unmapped,unmapped
Caramel Tea Frappe,Hot,Hot,Regular,16 oz,Tea,unmapped,unmapped
Caramel Tea Frappe,Hot,Hot,Large,22 oz,Tea,unmapped,unmapped
Caramel Tea Frappe,Ice,Regular,Small,12 oz,Tea,Caramel Tea Frappe (extracted Roasted Oolong),16 oz Caramel Tea Frappe (extracted Roasted Oolong)
